Rank,Island's name,Area(km2)[4],Area(sq mi),Country or countries
19,Mindanao,"97,530","37,660","Philippines (Caraga, Davao Region, Autonomous Region in Muslim Mindanao, Northern Mindanao, SOCCSKSARGEN, and Zamboanga Peninsula)"
20,Ireland,"84,421[8]","32,595",Ireland (Éire) and  United Kingdom (Northern Ireland)
21,Hokkaido,"78,719","30,394",Japan (Hokkaido region)
22,Hispaniola,"73,929","28,544",Dominican Republic and  Haiti
23,Sakhalin,"72,493","27,990",Russia (Sakhalin Oblast)
24,Banks Island,"70,028[7]","27,038",Canada (Northwest Territories)
25,Sri Lanka (main island),"65,268[9]","25,200",Sri Lanka
26,Tasmania,"65,022","25,105",Australia (Tasmania)
27,Devon Island,"55,247[7]","21,331",Canada (Nunavut) (largest uninhabited island in the world)
28,Alexander Island,"49,070","18,950","None (Antarctic territorial claims by  Argentina (partial),  Chile and  United Kingdom)"
29,Isla Grande de Tierra del Fuego,"47,401","18,302",Argentina (Tierra del Fuego Province) and  Chile (Magallanes y la Antártica Chilena Region)
30,"Severny Island (Novaya Zemlya, north)","47,079","18,177",Russia (Arkhangelsk Oblast)
31,Berkner Island,"43,873","16,939","None (Antarctic territorial claims by  Argentina,  Chile (partial) and  United Kingdom)"
32,Axel Heiberg Island,"43,178[7]","16,671",Canada (Nunavut)
33,Melville Island,"42,149[7]","16,274",Canada (Northwest Territories and Nunavut)
34,Southampton Island,"41,214[7]","15,913",Canada (Nunavut)
35,Marajó,"40,100[9]","15,500","Brazil (Pará). At the mouth of the Amazon River, it is the world's largest fluvial island."
36,Spitsbergen,"38,981[10]","15,051",Norway (Svalbard)
37,Kyushu,"37,437","14,455",Japan (Kyūshū region)
38,Taiwan (island),"35,883[11]","13,855",Taiwan
39,New Britain,"35,145","13,570",Papua New Guinea (West New Britain Province and East New Britain Province)
40,Prince of Wales Island,"33,339[7]","12,872",Canada (Nunavut)
41,"Yuzhny Island (Novaya Zemlya, south)","33,246","12,836",Russia (Arkhangelsk Oblast)
42,Hainan,"33,210","12,820",People's Republic of China (Hainan Province)
43,Vancouver Island,"31,285[7]","12,079",Canada (British Columbia)
44,Timor,"28,418","10,972",Indonesia (East Nusa Tenggara) and  East Timor
45,Sicily,"25,662","9,908",Italy (Sicily)

