Rank,Island's name,Area(km2)[4],Area(sq mi),Country or countries
77,Prince Charles Island,"9,521[7]","3,676",Canada (Nunavut)
78,Bougainville Island,"9,318","3,598",Papua New Guinea (Autonomous Region of Bougainville)
79,Kodiak Island,"9,310","3,595[12]",United States (Alaska)
80,Cyprus,"9,234","3,565","Cyprus,  Akrotiri and Dhekelia, Sovereign Base Areas of the  United Kingdom, and  Northern Cyprus[Note 4]"
81,Puerto Rico,"9,100","3,500","Puerto Rico, insular area of the  United States"
82,Komsomolets Island,"8,812","3,402",Russia (Krasnoyarsk Krai)
83,Corsica,"8,741","3,375",France (Corsica)
84,Qeqertarsuaq (Disko),"8,612","3,325","Greenland, forms part of the Danish Realm ( Denmark)"
85,Carney Island,"8,500[9]","3,300",None (unclaimed island of Antarctica)
86,Chiloé Island,"8,478","3,273",Chile (Los Lagos Region)
87,Buru,"8,473","3,271",Indonesia (Maluku)
88,Crete,"8,350","3,220",Greece (Crete)
89,Anticosti Island,"7,941[7]","3,066",Canada (Quebec)
90,Roosevelt Island,"7,910","3,050",None (Antarctic territorial claim by  New Zealand)
91,Wrangel Island (Vrangelya),"7,866","3,037",Russia (Chukotka Autonomous Okrug)
92,Tupinambarana (western part),"7,700","3,000",Brazil (Amazonas) (if taken as one fluvial island)
93,New Ireland,"7,405","2,859",Papua New Guinea (New Ireland Province)
94,Leyte,"7,368","2,845",Philippines (Eastern Visayas)
95,East Falkland (Isla Soledad),"7,040","2,720","Falkland Islands, part of the British Overseas Territories, territories under sovereignty of  United Kingdom and disputed with  Argentina[Note 5]"
96,Zealand (Sjælland),"7,031[13]","2,715",Denmark (Zealand and Capital Region)
97,Cornwallis Island,"6,995[7]","2,701",Canada (Nunavut)
98,Prince of Wales Island,"6,675","2,577",United States (Alaska)
99,Kerguelen (main island) (Desolation Island),"6,617","2,555","French Southern and Antarctic Lands, overseas territory of  France"
100,Siple Island,"6,390","2,470",None (unclaimed island of Antarctica)
101,Graham Island,"6,361[7]","2,456",Canada (British Columbia)
102,New Siberia (Novaya Sibir),"6,201","2,394",Russia (Sakha Republic)
103,Melville Island,"5,765","2,226",Australia (Northern Territory)
104,Prince Edward Island,"5,620[7]","2,170",Canada (Prince Edward Island)
105,Vanua Levu,"5,587","2,157",Fiji (Northern Division)
106,Wellington Island,"5,556","2,145",Chile (Magallanes and Antártica Chilena Region)
107,Coats Island,"5,498[7]","2,123",Canada (Nunavut)
108,Bali,"5,416","2,091",Indonesia (Bali)
109,Chichagof Island,"5,388","2,080",United States (Alaska)
110,Guadalcanal,"5,353","2,067",Solomon Islands (Guadalcanal Province and Capital Territory)
111,Amund Ringnes Island,"5,255[7]","2,029",Canada (Nunavut)
112,Great Lyakhovsky Island (Bolshoy Lyakhovsky),"5,157","1,991",Russia (Sakha Republic)
113,St. Lawrence Island,"5,135","1,983",United States (Alaska)
114,Riesco Island,"5,110[14]","1,970",Chile (Magallanes and Antártica Chilena Region)
115,Edgeøya,"5,073[10]","1,959",Norway (Svalbard)
116,Mackenzie King Island,"5,048[7]","1,949",Canada (Northwest Territories and Nunavut)
117,Trinidad,"5,009","1,934",Trinidad and Tobago
118,Caviana,"5,000[14]","1,900",Brazil (Pará)

