Rank,Island's name,Area(km2)[4],Area(sq mi),Country or countries
119,Kolguyev Island,"4,968","1,918",Russia (Nenets Autonomous Okrug)
120,Ilha Grande de Gurupá,"4,864[14]","1,878",Brazil (Pará)
121,Isabela Island,"4,711","1,819",Ecuador (Galápagos Province)
122,North Jutlandic Island (Vendsyssel-Thy),"4,685[13]","1,809",Denmark (North Denmark) (physically part of the Jutland peninsula until 1825)
123,Lombok,"4,625","1,786",Indonesia (West Nusa Tenggara)
124,West Falkland (Isla Gran Malvina),"4,531","1,749","Falkland Islands, part of the British Overseas Territories, territories under sovereignty of  United Kingdom and disputed with  Argentina[Note 5]"
125,Belitung,"4,478","1,729",Indonesia (Bangka-Belitung Islands)
126,Cebu,"4,468","1,725",Philippines (Central Visayas)
127,Adelaide Island,"4,463","1,723","None (Antarctic territorial claims by  Argentina,  Chile and  United Kingdom)"
128,Stefansson Island,"4,463[7]","1,723",Canada (Nunavut)
129,Madura Island,"4,429","1,710",Indonesia (East Java)
130,Buton,"4,408","1,702",Indonesia (South East Sulawesi)
131,Kangaroo Island,"4,374","1,689",Australia (South Australia)
132,Admiralty Island,"4,362","1,684",United States (Alaska)
133,Nunivak Island,"4,209[14]","1,625",United States (Alaska)
134,Unimak Island,"4,119","1,590",United States (Alaska)
135,Hoste Island,"4,117[14]","1,590",Chile (Magallanes and Antártica Chilena Region)
136,Spaatz Island,"4,100[14]","1,600",None (Antarctic territorial claims by  Chile and  United Kingdom)
137,Baranof Island,"4,065","1,570",United States (Alaska)
138,Nias,"4,048","1,563",Indonesia (North Sumatra)
139,Espiritu Santo,"3,956","1,527",Vanuatu (Sanma Province)
140,Milne Land,"3,913","1,511","Greenland, forms part of the Danish Realm ( Denmark)"
141,Malaita,"3,836","1,481",Solomon Islands (Malaita Province)
142,Siberut,"3,829","1,478",Indonesia (West Sumatra)
143,Bohol,"3,821","1,475",Philippines (Central Visayas)
144,South Georgia,"3,718","1,436","South Georgia and the South Sandwich Islands, part of the British Overseas Territories, territories under sovereignty of  United Kingdom"
145,Euboea (Evvoia),"3,707","1,431",Greece (Central Greece)
146,Santa Inés Island,"3,688","1,424",Chile (Magallanes and Antártica Chilena Region)
147,Majorca,"3,667","1,416",Spain (Balearic Islands)
148,Santa Isabel Island,"3,665","1,415",Solomon Islands (Isabel Province)
149,Long Island,"3,629[14]","1,401",United States (New York)
150,Socotra,"3,607","1,393",Yemen (Socotra Governorate)
151,Wetar,"3,600[14]","1,400",Indonesia (Maluku)
152,Tupinambarana (northern part),"3,600","1,400",Brazil (Amazonas)
153,Traill Island,"3,542","1,368","Greenland, forms part of the Danish Realm ( Denmark)"
154,Bear Island,"3,500[14]","1,400","None (Antarctic territorial claims by  Argentina,  Chile and  United Kingdom)"
155,North Andros Island,"3,439","1,328",Bahamas (North Andros and Central Andros)
156,Vaygach Island,"3,329","1,285",Russia (Arkhangelsk Oblast)
157,Masbate Island,"3,268[14]","1,262",Philippines (Bicol Region)
158,Iturup (Etorofu),"3,238","1,250",Russia (Sakhalin Oblast) (also claimed by  Japan (Hokkaidō region))
159,Makira (San Cristóbal),"3,190","1,230",Solomon Islands (Makira-Ulawa Province)
160,Mansel Island,"3,180[7]","1,230",Canada (Nunavut)
161,Yamdena,"3,100[14]","1,200",Indonesia (Maluku)
162,Waigeo,"3,060[14]","1,180",Indonesia (West Papua)
163,Akimiski Island,"3,001[7]","1,159",Canada (Nunavut)
164,Gotland,"2,994[15]","1,156",Sweden (Gotland)
165,Funen (Fyn),"2,985[13]","1,153",Denmark (Southern Denmark)
166,Choiseul Island,"2,971","1,147",Solomon Islands (Choiseul Province)
167,Revillagigedo Island,"2,965","1,145",United States (Alaska)
168,Taliabu,"2,913","1,125",Indonesia (North Maluku)
169,Muna Island,"2,889","1,115",Indonesia (South East Sulawesi)
170,Zemlya Georga,"2,821","1,089",Russia (Arkhangelsk Oblast)
171,Kupreanof Island,"2,813","1,086",United States (Alaska)
172,Borden Island,"2,794[7]","1,079",Canada (Northwest Territories and Nunavut)
173,North Andaman Island,"2,781","1,074",India (Andaman and Nicobar Islands)
174,Manitoulin Island,"2,766[16]","1,068",Canada (Ontario) (world's largest freshwater lake island)
175,Unalaska Island,"2,722","1,051",United States (Alaska)
176,Saaremaa,"2,672","1,032",Estonia (Saaremaa)
177,Moresby Island,"2,608[7]","1,007",Canada (British Columbia)
178,James Ross Island,"2,598","1,003","None (Antarctic territorial claims by  Argentina,  Chile and  United Kingdom)"
179,Obira,"2,542",981,Indonesia (North Maluku)
180,Réunion,"2,535",979,"France (Réunion, overseas department)"

