Rank,Island's name,Area(km2)[4],Area(sq mi),Country or countries
181,Navarino Island,"2,473[citation needed]",955,Chile (Magallanes and Antártica Chilena Region)
182,Paramushir,"2,471[14]",954,Russia (Sakhalin Oblast)
183,Ross Island,"2,460[14]",950,None (Antarctic territorial claim by  New Zealand)
184,Ymer Island,"2,437",941,"Greenland, forms part of the Danish Realm ( Denmark)"
185,Anvers Island,"2,432",939,"None (Antarctic territorial claims by  Argentina,  Chile and  United Kingdom)"
186,Karaginsky Island,"2,404[citation needed]",928,Russia (Kamchatka Krai)
187,Cornwall Island,"2,358[7]",910,Canada (Nunavut)
188,Peleng,"2,346",906,Indonesia (Central Sulawesi)
189,Groote Eylandt,"2,285",882,Australia (Northern Territory)
190,Yapen,"2,278",880,Indonesia (Papua)
191,Morotai,"2,266",875,Indonesia (North Maluku)
192,Princess Royal Island,"2,251[7]",869,Canada (British Columbia)
193,Isla de la Juventud,"2,237",864,Cuba (Isla de la Juventud)
194,Wilczek Land,"2,203[citation needed]",851,Russia (Arkhangelsk Oblast)
195,Hinnøya,"2,198[10]",849,Norway (Nordland and Troms)
196,Nelson Island,"2,183[citation needed]",843,United States (Alaska)
197,Richards Island,"2,165[7]",836,Canada (Northwest Territories)
198,Trangan,"2,149",830,Indonesia (Maluku)
199,Alor Island,"2,120",820,Indonesia (East Nusa Tenggara)
200,Margarita Island,"2,100",810,"Colombia (an inland fluvial island in the Magdalena River, not to be confused with the Caribbean Venezuelan island)"
201,Lewis and Harris,"2,086",805,United Kingdom (Scotland)
202,Laut Island,"2,057",794,Indonesia (South Kalimantan)
203,Malakula,"2,041",788,Vanuatu (Malampa Province)
204,New Georgia,"2,037",786,Solomon Islands (Western Province)
205,Misool,"2,034",785,Indonesia (West Papua)
206,Magdalena Island,"2,025",782,Chile (Aysén Region)
207,René-Levasseur Island,"2,020[16]",780,Canada (Quebec) (largest artificial island)
208,Tenerife,"2,008",775,Spain (Canary Islands)
209,Ayon Island,"2,000[citation needed]",770,Russia (Chukotka Autonomous Okrug)
210,Kuiu Island,"1,962",758,United States (Alaska)
211,Manus Island,"1,940",750,Papua New Guinea (Manus Province)
212,Bioko,"1,935",747,Equatorial Guinea (Bioko Norte Province and Bioko Sur Province)
213,Biak,"1,904",735,Indonesia (Papua)
214,Maui,"1,903",735,United States (Hawaii)
215,Bacan,"1,900",730,Indonesia (North Maluku)
216,Žitný ostrov,"1,886[citation needed]",728,"Slovakia (Bratislava Region, Trnava Region and Nitra Region)"
217,Mauritius,"1,874",724,Mauritius
218,Fraser Island,"1,840[17]",710,Australia (Queensland) (world's largest sand island)
219,Jejudo,"1,826[18]",705,South Korea (Jeju Province)
220,Stewart Island/Rakiura,"1,815",701,New Zealand (Southland)
221,Bely Island,"1,810",700,Russia (Yamalo-Nenets Autonomous Okrug)
222,Afognak,"1,809",698,United States (Alaska)
223,Umnak,"1,793",692,United States (Alaska)
224,Bolshoy Shantar Island,"1,766",682,Russia (Khabarovsk Krai)
225,Bolshoy Begichev Island,"1,764",681,Russia (Sakha Republic)
226,Simeulue,"1,754",677,Indonesia (Aceh)
227,Kobroor,"1,723",665,Indonesia (Maluku)
228,Air Force Island,"1,720[7]",660,Canada (Nunavut)
229,Natuna Besar,"1,720[citation needed]",660,Indonesia (Riau Islands)
230,Savai'i,"1,718",663,"Samoa (Fa'asaleleaga, Gaga'emauga, Gaga'ifomauga, Vaisigano, Satupa'itea and Palauli)"
231,Geographical Society Island,"1,717",663,"Greenland, forms part of the Danish Realm ( Denmark)"
232,Bathurst Island,"1,692",653,Australia (Northern Territory)
233,Bering Island,"1,660[citation needed]",640,Russia (Kamchatka Krai)
234,Skye,"1,659",641,United Kingdom (Scotland)
235,Lesbos (Lesvos),"1,641",634,Greece (North Aegean)
236,Soisalo,"1,635[19]",631,Finland (Northern Savonia and Southern Savonia)
237,Fuerteventura,"1,633",631,Spain (Canary Islands)
238,Salawati,"1,623",627,Indonesia (West Papua)
239,Great Inagua,"1,615",624,Bahamas (Inagua)
240,Kunashir Island,"1,612",622,Russia (Sakhalin Oblast) (also claimed by  Japan (Hokkaidō region))
241,Joinville Island,"1,607",620,"None (Antarctic territorial claims by  Argentina,  Chile and  United Kingdom)"
242,Tanahbesar (Wokam),"1,604",619,Indonesia (Maluku)
243,Rantau,"1,598",617,Indonesia (Riau)
244,Senja,"1,590[10]",610,Norway (Troms)
245,Flaherty Island,"1,585[7]",612,Canada (Nunavut)
246,Oahu,"1,583",611,United States (Hawaii)
247,Zanzibar (Unguja),"1,575",608,"Tanzania (Unguja North Region, Unguja South Region and Mjini Magharibi Region)"
248,Graham Bell Island,"1,557",601,Russia (Arkhangelsk Oblast)
249,Eglinton Island,"1,541[7]",595,Canada (Northwest Territories)
250,Middle Andaman Island,"1,536[18]",593,India (Andaman and Nicobar Islands)
251,Clavering Island,"1,535",593,"Greenland, forms part of the Danish Realm ( Denmark)"
252,Gran Canaria,"1,530",590,Spain (Canary Islands)
253,Pioneer Island,"1,527",590,Russia (Krasnoyarsk Krai)
254,Great Karimun,"1,524",588,Indonesia (Riau Islands)
255,Catanduanes,"1,523",588,Philippines (Bicol Region)
256,Charcot Island,"1,500[citation needed]",580,None (Antarctic territorial claims by  Chile and  United Kingdom)
257,Rupat,"1,490",580,Indonesia (Riau)
258,Qeshm,"1,488",575,Iran (Hormozgan Province)
259,Nares Land,"1,466",566,"Greenland, forms part of the Danish Realm ( Denmark)"
260,South Andros Island,"1,448",559,Bahamas (South Andros)
261,Bhola Island,"1,441[citation needed]",556,Bangladesh (Barisal Division)
262,Fergusson Island,"1,437",555,Papua New Guinea (Milne Bay Province)
263,Urup,"1,437",555,Russia (Sakhalin Oblast)
264,Kauai,"1,435",554,United States (Hawaii)
265,São Luís Island,"1,410[citation needed]",540,Brazil (Maranhão)
266,Rhodes,"1,410",540,Greece (South Aegean)
267,King George Island,"1,384",534,"None (Antarctic territorial claims by  Argentina,  Chile and  United Kingdom)"
268,Graham Island,"1,378[7]",532,Canada (Nunavut)
269,Pitt Island,"1,375[7]",531,Canada (British Columbia)
270,Nottingham Island,"1,372[7]",530,Canada (Nunavut)
271,Desolación Island,"1,352",522,Chile (Magallanes and Antártica Chilena Region)
272,Ramree Island,"1,350[18]",520,Myanmar (Rakhine State)
273,Flinders Island,"1,330",510,Australia (Tasmania)
274,Öland,"1,347[15]",520,Sweden (Kalmar)
275,Lougheed Island,"1,308[7]",505,Canada (Nunavut)
276,Dawson Island,"1,290",500,Chile (Magallanes and Antártica Chilena Region)
277,Barentsøya (Barents),"1,288[20]",497,Norway (Svalbard)
278,Lembata (Lomblen),"1,270",490,Indonesia (East Nusa Tenggara)
279,Chongming Island,"1,267[citation needed]",489,People's Republic of China (Shanghai Municipality)
280,Basilan,"1,266",489,Philippines (Autonomous Region in Muslim Mindanao and Zamboanga Peninsula)
281,Shannon Island,"1,259",486,"Greenland, forms part of the Danish Realm ( Denmark)"
282,Mill Island,"1,258",486,None (Antarctic territorial claim by  Australia)
283,Morfil,"1,250",480,Senegal (Saint-Louis Region)
284,Lolland,"1,243[13]",480,Denmark (Zealand)
285,Mangole Island,"1,229",475,Indonesia (North Maluku)
