Rank,Island's name,Area(km2)[4],Area(sq mi),Country or countries
286,New Hanover Island (Lavongai),"1,227",474,Papua New Guinea (New Ireland Province)
287,Rote Island,"1,227",474,Indonesia (East Nusa Tenggara)
288,South Andaman Island,"1,211",468,India (Andaman and Nicobar Islands)
289,Okinawa Island,"1,200",460,Japan (Ryukyu Islands)
290,Oleniy Island,"1,197",462,Russia (Yamalo-Nenets Autonomous Okrug)
291,Tiburón Island,"1,190",460,Mexico (Sonora)
292,Campana Island,"1,188",459,Chile (Aisén Region)
293,Bintan Island,"1,173",453,Indonesia (Riau Islands)
294,Martinique,"1,167",451,"France (Martinique, overseas department)"
295,Aracena Island,"1,164",449,Chile (Magallanes and Antártica Chilena Region)
296,Sherman Island,"1,159",447,None (unclaimed island of Antarctica)
297,Byam Martin Island,"1,150[7]",440,Canada (Nunavut)
298,Great Abaco,"1,146",442,"Bahamas (North Abaco, Central Abaco and South Abaco)"
299,Lifou Island,"1,146",442,"New Caledonia, special collectivity of  France"
300,Wales Island,"1,137[7]",439,Canada (Nunavut)
301,Île Vanier,"1,126[7]",435,Canada (Nunavut)
302,Upolu,"1,125",434,"Samoa (Tuamasaga, A'ana, Aiga-i-le-Tai, Atua, Va'a-o-Fonoti and Gaga'emauga)"
303,King Island,"1,121",433,Australia (Tasmania)
304,Clarence Island,"1,111",429,Chile (Magallanes and Antártica Chilena Region)
305,Padang Island,"1,109",428,Indonesia (Riau)
306,Grand Bahama,"1,096",423,"Bahamas (East Grand Bahama, West Grand Bahama and Freeport)"
307,Alexandra Land (Zemlya Aleksandry),"1,095",423,Russia (Arkhangelsk Oblast)
308,Rowley Island,"1,090[7]",420,Canada (Nunavut)
309,Tahiti,"1,069",413,"French Polynesia, overseas collectivity of  France"
310,Sääminginsalo,"1,069[19]",413,Finland (Southern Savonia) (not a true island because it is detached from the mainland by an artificial canal)
311,Serrano Island,"1,063",410,Chile (Aisén Region)
312,Atka Island,"1,061",410,United States (Alaska)
313,Cameron Island,"1,059[7]",409,Canada (Nunavut)
314,Gallya (Hall Island),"1,049",405,Russia (Arkhangelsk Oblast)
315,Madre de Dios Island,"1,043",403,Chile (Magallanes and Antártica Chilena Region)
316,Normanby Island,"1,040",400,Papua New Guinea (Milne Bay Province)
317,Hiiumaa,"1,031",398,Estonia (Hiiumaa)
318,Margarita Island,"1,020",390,Venezuela (Nueva Esparta)
319,Resolution Island,"1,015[7]",392,Canada (Nunavut)
320,Grande Comore,"1,013",391,Comoros (Grande Comore)
321,Mornington Island,"1,002[citation needed]",387,Australia (Queensland)
322,Smyley Island,"1,000[citation needed]",390,None (Antarctic territorial claims by  Chile and  United Kingdom)

